trr_id,weapon_type,firearm_caliber,weapon_description
23484,VERBAL THREAT (ASSAULT),,
23485,HANDS/FISTS,,
23485,OTHER (SPECIFY),,BELT
23485,OTHER (SPECIFY),,BELT WRAPPED AROUND FIST
23485,VERBAL THREAT (ASSAULT),,
23486,OTHER (SPECIFY),,BELT
23486,OTHER (SPECIFY),,BELT WRAPPED AROUND FIST
23486,VERBAL THREAT (ASSAULT),,
23487,OTHER (SPECIFY),,PO HIT WITH DOOR
23487,VERBAL THREAT (ASSAULT),,
23489,OTHER (SPECIFY),,KNIFE
23499,FEET,,
23499,HANDS/FISTS,,
23501,FEET,,
23501,HANDS/FISTS,,
23502,FEET,,
23502,HANDS/FISTS,,
23504,HANDS/FISTS,,
23504,VERBAL THREAT (ASSAULT),,
23507,HANDS/FISTS,,
23511,OTHER (SPECIFY),,BODY (SHOULDER & BACK)
23513,FEET,,
23515,HANDS/FISTS,,
23515,VERBAL THREAT (ASSAULT),,
23516,FEET,,
23516,HANDS/FISTS,,
23516,"MOUTH (SPIT,BITE,ETC)",,
23516,VERBAL THREAT (ASSAULT),,
23517,"MOUTH (SPIT,BITE,ETC)",,
23517,VERBAL THREAT (ASSAULT),,
23518,FEET,,
23518,HANDS/FISTS,,
23518,VERBAL THREAT (ASSAULT),,
23521,HANDS/FISTS,,
23521,"MOUTH (SPIT,BITE,ETC)",,
23521,VERBAL THREAT (ASSAULT),,
23529,HANDS/FISTS,,
23530,FIREARM - SEMI-AUTOMATIC, 9 MM,
23530,HANDS/FISTS,,
23531,FIREARM - SEMI-AUTOMATIC, 9 MM,
23532,FIREARM - SEMI-AUTOMATIC, 9 MM,
23534,OTHER (SPECIFY),,VEHICLE
23534,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
23535,OTHER (SPECIFY),,VEHICLE
23535,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
23536,HANDS/FISTS,,
23537,FIREARM - SEMI-AUTOMATIC, 9 MM,
23539,FIREARM - SEMI-AUTOMATIC, 9 MM,
23545,HANDS/FISTS,,
23546,"MOUTH (SPIT,BITE,ETC)",,
23546,VERBAL THREAT (ASSAULT),,
23547,OTHER (SPECIFY),,POINTED HANDGUN AT OFFICER
23549,FIREARM - RIFLE,OTHER,769 PUMP MASTER AIR RIFLE
23551,HANDS/FISTS,,
23552,HANDS/FISTS,,
23555,HANDS/FISTS,,
23564,OTHER (SPECIFY),,SWING AND THROWING KNIVES
23565,"MOUTH (SPIT,BITE,ETC)",,
23566,KNIFE/OTHER CUTTING INSTRUMENT,,13 INCH BLADE WITH WOODEN HANDLE
23570,HANDS/FISTS,,
23570,VERBAL THREAT (ASSAULT),,
23577,FIREARM - REVOLVER, 38 CAL,
23581,FEET,,
23581,HANDS/FISTS,,
23582,FEET,,
23582,HANDS/FISTS,,
23585,FEET,,
23585,HANDS/FISTS,,
23591,HANDS/FISTS,,
23592,FEET,,
23596,OTHER (SPECIFY),,STRIKE WITH HIS HEAD
23602,HANDS/FISTS,,
23602,VERBAL THREAT (ASSAULT),,
23605,FEET,,
23605,HANDS/FISTS,,
23608,OTHER (SPECIFY),,URINATED ON R/SGT
23611,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
23613,HANDS/FISTS,,
23614,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
23615,OTHER (SPECIFY),,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE
23616,OTHER (SPECIFY),,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE
23617,HANDS/FISTS,,
23621,KNIFE/OTHER CUTTING INSTRUMENT,,RAZOR BLADE
23626,FEET,,
23626,HANDS/FISTS,,
23627,FEET,,
23627,HANDS/FISTS,,
23634,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
23635,HANDS/FISTS,,
23640,FIREARM - REVOLVER, 38 CAL,
23640,OTHER (SPECIFY),,POINTED WEAPON AT R/OS
23642,FIREARM - REVOLVER, 38 CAL,
23642,OTHER (SPECIFY),,"OFF. STATED ""I WILL KILL YOU"""
23645,HANDS/FISTS,,
23647,FEET,,
23647,HANDS/FISTS,,
23655,OTHER (SPECIFY),,STRUCK P.O. WITH MONEY
23663,FEET,,
23663,HANDS/FISTS,,
23665,FEET,,
23665,HANDS/FISTS,,
23665,"MOUTH (SPIT,BITE,ETC)",,
23666,HANDS/FISTS,,
23666,OTHER (SPECIFY),,"TOLD SGT TO ""FUCK OFF"""
23668,VERBAL THREAT (ASSAULT),,
23669,VERBAL THREAT (ASSAULT),,
23671,FEET,,
23671,HANDS/FISTS,,
23672,OTHER (SPECIFY),,ATTEMPTED TO STRIKE OFFICER WITH FIREWORKS
23673,OTHER (SPECIFY),,ATTEMPTED TO STRIKE OFFICER WITH FIREWORKS 
23674,OTHER (SPECIFY),,THROWN FIREWORK
23675,OTHER (SPECIFY),,THREW FIREWORK
23681,HANDS/FISTS,,
23681,VERBAL THREAT (ASSAULT),,
23694,HANDS/FISTS,,
23697,FEET,,
23698,VERBAL THREAT (ASSAULT),,
23699,HANDS/FISTS,,
23699,VERBAL THREAT (ASSAULT),,
23700,HANDS/FISTS,,
23701,FEET,,
23701,OTHER (SPECIFY),,KICKED
23702,FEET,,
23702,HANDS/FISTS,,
23702,VERBAL THREAT (ASSAULT),,
23703,FEET,,
23703,HANDS/FISTS,,
23705,FEET,,
23705,"MOUTH (SPIT,BITE,ETC)",,
23705,VERBAL THREAT (ASSAULT),,
23707,HANDS/FISTS,,
23709,HANDS/FISTS,,
23717,VERBAL THREAT (ASSAULT),,
23719,FEET,,
23719,HANDS/FISTS,,
23721,HANDS/FISTS,,
23725,FEET,,
23725,HANDS/FISTS,,
23725,VERBAL THREAT (ASSAULT),,
23727,"MOUTH (SPIT,BITE,ETC)",,
23728,HANDS/FISTS,,
23729,FEET,,
23731,HANDS/FISTS,,
23731,VERBAL THREAT (ASSAULT),,
23733,HANDS/FISTS,,
23733,KNIFE/OTHER CUTTING INSTRUMENT,,SCISSORS
23733,OTHER (SPECIFY),,WAVED SCISSORS AT R/O IN THREATENING MANNER
23735,HANDS/FISTS,,
23742,FIREARM - SEMI-AUTOMATIC, 9 MM,
23743,HANDS/FISTS,,
23743,VERBAL THREAT (ASSAULT),,
23751,HANDS/FISTS,,
23752,FEET,,
23754,HANDS/FISTS,,
23759,HANDS/FISTS,,
23761,OTHER (SPECIFY),,POINT GUN AT OFFICER
23761,OTHER (SPECIFY),,REPLICA HANDGUN GLOCK
23763,HANDS/FISTS,,
23764,HANDS/FISTS,,
23773,HANDS/FISTS,,
23773,"MOUTH (SPIT,BITE,ETC)",,
23775,HANDS/FISTS,,
23779,FEET,,
23779,HANDS/FISTS,,
23779,OTHER (SPECIFY),,THROW GLASS BOTTLE
23780,OTHER (SPECIFY),,THREW GLASS BOTTLE
23782,FEET,,
23782,HANDS/FISTS,,
23782,OTHER (SPECIFY),,THROW GLASS BOTTLE OF BEER
23787,OTHER (SPECIFY),,ELBOW STRIKE
23788,VERBAL THREAT (ASSAULT),,
23790,OTHER (SPECIFY),,MENTAL
23790,VERBAL THREAT (ASSAULT),,
23795,FEET,,
23799,OTHER (SPECIFY),,BURNED WITH LIT CIGARETTE
23806,HANDS/FISTS,,
23812,HANDS/FISTS,,
23816,FEET,,
23816,HANDS/FISTS,,
23817,FEET,,
23817,HANDS/FISTS,,
23817,OTHER (SPECIFY),,ATT DISARM PO VIEYRA
23818,HANDS/FISTS,,
23827,VERBAL THREAT (ASSAULT),,
23830,HANDS/FISTS,,
23835,HANDS/FISTS,,
23836,HANDS/FISTS,,
23843,FEET,,
23843,HANDS/FISTS,,
23843,OTHER (SPECIFY),,GLASS ASH TRAY
23843,OTHER (SPECIFY),,MASSAGER
23843,OTHER (SPECIFY),,THROW ASH TRAY
23845,BLUNT INSTRUMENT,,
23845,FEET,,
23845,HANDS/FISTS,,
23845,VERBAL THREAT (ASSAULT),,
23847,BLUNT INSTRUMENT,,
23847,HANDS/FISTS,,
23847,VERBAL THREAT (ASSAULT),,
23848,FEET,,
23848,VERBAL THREAT (ASSAULT),,
23851,FEET,,
23851,VERBAL THREAT (ASSAULT),,
23852,OTHER (SPECIFY),,BODY LUNGE
23854,FEET,,
23854,VERBAL THREAT (ASSAULT),,
23856,OTHER (SPECIFY),,STRUCK OFFICER WITH SHOULDER
23866,HANDS/FISTS,,
23867,FEET,,
23868,VERBAL THREAT (ASSAULT),,
23873,HANDS/FISTS,,
23874,HANDS/FISTS,,
23875,"MOUTH (SPIT,BITE,ETC)",,
23876,HANDS/FISTS,,
23876,VERBAL THREAT (ASSAULT),,
23878,HANDS/FISTS,,
23878,VERBAL THREAT (ASSAULT),,
23879,HANDS/FISTS,,
23882,FEET,,
23882,HANDS/FISTS,,
23888,FEET,,
23888,HANDS/FISTS,,
23889,HANDS/FISTS,,
23889,VERBAL THREAT (ASSAULT),,
23890,FEET,,
23890,HANDS/FISTS,,
23891,FEET,,
23896,HANDS/FISTS,,
23898,HANDS/FISTS,,
23899,FEET,,
23899,HANDS/FISTS,,
23899,"MOUTH (SPIT,BITE,ETC)",,
23902,VERBAL THREAT (ASSAULT),,
23903,VERBAL THREAT (ASSAULT),,
23905,HANDS/FISTS,,
23908,FEET,,
23908,"MOUTH (SPIT,BITE,ETC)",,
23908,VERBAL THREAT (ASSAULT),,
23910,FEET,,
23910,OTHER (SPECIFY),,KICKING
23910,VERBAL THREAT (ASSAULT),,
23912,"MOUTH (SPIT,BITE,ETC)",,
23913,"MOUTH (SPIT,BITE,ETC)",,
23913,VERBAL THREAT (ASSAULT),,
23914,HANDS/FISTS,,
23914,"MOUTH (SPIT,BITE,ETC)",,
23914,VERBAL THREAT (ASSAULT),,
23915,HANDS/FISTS,,
23915,OTHER (SPECIFY),,PUNCHED/GRABBED/PUSHED
23915,VERBAL THREAT (ASSAULT),,
23916,FEET,,
23916,HANDS/FISTS,,
23916,OTHER (SPECIFY),,PUSHED/GRABBED
23916,VERBAL THREAT (ASSAULT),,
23919,VERBAL THREAT (ASSAULT),,
23921,HANDS/FISTS,,
23928,HANDS/FISTS,,
23929,FEET,,
23930,HANDS/FISTS,,
23930,VERBAL THREAT (ASSAULT),,
23931,FEET,,
23931,HANDS/FISTS,,
23933,HANDS/FISTS,,
23935,OTHER (SPECIFY),,FIGHTING STANCE
23935,VERBAL THREAT (ASSAULT),,
23937,HANDS/FISTS,,
23938,HANDS/FISTS,,
23939,FEET,,
23939,HANDS/FISTS,,
23940,FEET,,
23940,HANDS/FISTS,,
23941,FEET,,
23948,HANDS/FISTS,,
23951,HANDS/FISTS,,
23951,OTHER (SPECIFY),,GRABBED ARM
23955,VERBAL THREAT (ASSAULT),,
23961,FEET,,
23961,HANDS/FISTS,,
23963,HANDS/FISTS,,
23969,HANDS/FISTS,,
23970,FIREARM - SEMI-AUTOMATIC, 9 MM,
23973,HANDS/FISTS,,
23979,HANDS/FISTS,,
23979,VERBAL THREAT (ASSAULT),,
23980,HANDS/FISTS,,
23983,FIREARM - SHOTGUN,12 GA,
23984,FIREARM - SHOTGUN,12 GA,
23986,FIREARM - SHOTGUN,12 GA,
23987,VERBAL THREAT (ASSAULT),,
23990,FEET,,
23990,HANDS/FISTS,,
23990,"MOUTH (SPIT,BITE,ETC)",,
23990,VERBAL THREAT (ASSAULT),,
23991,FEET,,
23991,HANDS/FISTS,,
23991,"MOUTH (SPIT,BITE,ETC)",,
23991,VERBAL THREAT (ASSAULT),,
23992,FIREARM - REVOLVER, 38 CAL,STAINLESS STEEL
23992,OTHER (SPECIFY),,MOTIONED AS IF ARMED W/ GUN
24000,FEET,,
24000,OTHER (SPECIFY),,LUNGED HEAD
24000,VERBAL THREAT (ASSAULT),,
24004,FEET,,
24004,HANDS/FISTS,,
24004,"MOUTH (SPIT,BITE,ETC)",,
24004,VERBAL THREAT (ASSAULT),,
24005,FEET,,
24005,HANDS/FISTS,,
24005,"MOUTH (SPIT,BITE,ETC)",,
24007,FEET,,
24007,OTHER (SPECIFY),,PUSHED OFFICER DOWN ESCALATOR
24009,HANDS/FISTS,,
24010,OTHER (SPECIFY),,OFFICER STRUCK WITH VEHICLE DOOR
24014,"MOUTH (SPIT,BITE,ETC)",,
24014,OTHER (SPECIFY),,SPIT ON
24017,"MOUTH (SPIT,BITE,ETC)",,
24017,OTHER (SPECIFY),,BUMPED CHEST TO CHEST
24019,OTHER (SPECIFY),,BB GUN
24023,HANDS/FISTS,,
24029,OTHER (SPECIFY),,STIFFEN AND STRUGGLED WITH OFFICERS
24029,VERBAL THREAT (ASSAULT),,
24030,OTHER (SPECIFY),,STIFFENED/STRUGGLED W/PO'S
24030,VERBAL THREAT (ASSAULT),,
24035,FEET,,
24035,HANDS/FISTS,,
24036,FEET,,
24036,HANDS/FISTS,,
24037,HANDS/FISTS,,
24040,HANDS/FISTS,,
24045,HANDS/FISTS,,
24046,HANDS/FISTS,,
24048,HANDS/FISTS,,
24050,HANDS/FISTS,,
24053,HANDS/FISTS,,
24055,OTHER (SPECIFY),,ELBOW STRIKE TO PO'S CHEST
24056,OTHER (SPECIFY),,HEAD BUTT
24061,HANDS/FISTS,,
24061,VERBAL THREAT (ASSAULT),,
24067,FIREARM - SEMI-AUTOMATIC,40 S&W,
24070,HANDS/FISTS,,
24075,HANDS/FISTS,,
24081,OTHER (SPECIFY),,KEYS
24081,OTHER (SPECIFY),,THROWN KEYS
24084,KNIFE/OTHER CUTTING INSTRUMENT,,SHARP METAL OBJECT
24084,VERBAL THREAT (ASSAULT),,
24088,HANDS/FISTS,,
24090,VERBAL THREAT (ASSAULT),,
24091,FEET,,
24091,VERBAL THREAT (ASSAULT),,
24094,FEET,,
24096,FEET,,
24097,OTHER (SPECIFY),,KICKED AND BIT
24099,FEET,,
24099,VERBAL THREAT (ASSAULT),,
24100,FEET,,
24100,HANDS/FISTS,,
24102,OTHER (SPECIFY),UNKNOWN,HANDGUN
24105,OTHER (SPECIFY),UNKNOWN,HANDGUN
24109,HANDS/FISTS,,
24110,HANDS/FISTS,,
24111,HANDS/FISTS,,
24112,OTHER (SPECIFY),,SCREWDRVER
24113,HANDS/FISTS,,
24114,VERBAL THREAT (ASSAULT),,
24116,HANDS/FISTS,,
24117,HANDS/FISTS,,
24121,HANDS/FISTS,,
24121,VERBAL THREAT (ASSAULT),,
24123,HANDS/FISTS,,
24125,OTHER (SPECIFY),,BITE
24127,HANDS/FISTS,,
24128,"MOUTH (SPIT,BITE,ETC)",,
24128,VERBAL THREAT (ASSAULT),,
24129,HANDS/FISTS,,
24130,VERBAL THREAT (ASSAULT),,
24131,HANDS/FISTS,,
24133,HANDS/FISTS,,
24133,OTHER (SPECIFY),,BAR STOOL
24134,OTHER (SPECIFY),,DRAGGED PO USING VEH
24136,FEET,,
24136,HANDS/FISTS,,
24136,OTHER (SPECIFY),,BAR STOOL
24140,FEET,,
24140,HANDS/FISTS,,
24151,OTHER (SPECIFY),,SUBJECT HEAD BUTTED P.O.
24156,"MOUTH (SPIT,BITE,ETC)",,
24171,FIREARM - SEMI-AUTOMATIC, 9 MM,
24173,FIREARM - REVOLVER, 38 CAL,
24174,FIREARM - REVOLVER, 38 CAL,
24175,VERBAL THREAT (ASSAULT),,
24178,FIREARM - SEMI-AUTOMATIC,25 ACP,
24183,VERBAL THREAT (ASSAULT),,
24185,HANDS/FISTS,,
24185,VERBAL THREAT (ASSAULT),,
24187,OTHER (SPECIFY),,THREW FULL BEER CUP
24191,FEET,,
24191,HANDS/FISTS,,
24197,FEET,,
24198,FEET,,
24198,HANDS/FISTS,,
24199,OTHER (SPECIFY),,INTENTIONALLY FELL TO GROUND
24203,FEET,,
24204,VERBAL THREAT (ASSAULT),,
24209,OTHER (SPECIFY),,ELBOW
24213,HANDS/FISTS,,
24213,VERBAL THREAT (ASSAULT),,
24214,FEET,,
24214,HANDS/FISTS,,
24214,VERBAL THREAT (ASSAULT),,
24221,HANDS/FISTS,,
24222,"MOUTH (SPIT,BITE,ETC)",,
24224,HANDS/FISTS,,
24224,OTHER (SPECIFY),,OFFENDER GRABBED R/O
24227,FEET,,
24227,HANDS/FISTS,,
24227,VERBAL THREAT (ASSAULT),,
24228,FEET,,
24228,HANDS/FISTS,,
24228,VERBAL THREAT (ASSAULT),,
24229,HANDS/FISTS,,
24231,HANDS/FISTS,,
24235,HANDS/FISTS,,
24236,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
24241,HANDS/FISTS,,
24241,VERBAL THREAT (ASSAULT),,
24245,FEET,,
24245,"MOUTH (SPIT,BITE,ETC)",,
24245,VERBAL THREAT (ASSAULT),,
24246,FEET,,
24246,HANDS/FISTS,,
24246,"MOUTH (SPIT,BITE,ETC)",,
24246,VERBAL THREAT (ASSAULT),,
24249,HANDS/FISTS,,
24251,OTHER (SPECIFY),,THREW CUP OF BEER AT P.O.
24252,HANDS/FISTS,,
24252,OTHER (SPECIFY),,SWUNG AT A/OS WITH CLOSED FISTS
24252,VERBAL THREAT (ASSAULT),,
24253,HANDS/FISTS,,
24253,OTHER (SPECIFY),,SWUNG AT A/O WITH CLOSED FISTS
24254,HANDS/FISTS,,
24254,VERBAL THREAT (ASSAULT),,
24255,HANDS/FISTS,,
24258,FIREARM - SEMI-AUTOMATIC, 9 MM,
24267,FIREARM - REVOLVER,357 MAG,
24267,HANDS/FISTS,,
24268,FIREARM - REVOLVER,357 MAG,
24268,HANDS/FISTS,,
24273,HANDS/FISTS,,
24274,HANDS/FISTS,,
24284,HANDS/FISTS,,
24284,VERBAL THREAT (ASSAULT),,
24289,HANDS/FISTS,,
24289,VERBAL THREAT (ASSAULT),,
24292,"MOUTH (SPIT,BITE,ETC)",,
24292,VERBAL THREAT (ASSAULT),,
24294,FEET,,
24294,"MOUTH (SPIT,BITE,ETC)",,
24294,OTHER (SPECIFY),,GANG RETALLIATION
24294,VERBAL THREAT (ASSAULT),,
24297,HANDS/FISTS,,
24299,HANDS/FISTS,,
24300,HANDS/FISTS,,
24305,HANDS/FISTS,,
24305,OTHER (SPECIFY),,ELBOW
24307,"MOUTH (SPIT,BITE,ETC)",,
24315,HANDS/FISTS,,
24315,"MOUTH (SPIT,BITE,ETC)",,
24315,VERBAL THREAT (ASSAULT),,
24317,VERBAL THREAT (ASSAULT),,
24319,HANDS/FISTS,,
24319,OTHER (SPECIFY),,DRINKING GLASS
24319,VERBAL THREAT (ASSAULT),,
24320,VERBAL THREAT (ASSAULT),,
24321,HANDS/FISTS,,
24321,VERBAL THREAT (ASSAULT),,
24329,FEET,,
24329,HANDS/FISTS,,
24330,FEET,,
24330,HANDS/FISTS,,
24331,HANDS/FISTS,,
24332,VERBAL THREAT (ASSAULT),,
24343,HANDS/FISTS,,
24344,HANDS/FISTS,,
24344,VERBAL THREAT (ASSAULT),,
24348,HANDS/FISTS,,
24351,OTHER (SPECIFY),,ATTEMPTED TO BITE
24357,HANDS/FISTS,,
24357,OTHER (SPECIFY),,KICKED A/O ABOUT THE LEGS
24363,HANDS/FISTS,,
24364,FEET,,
24364,HANDS/FISTS,,
24364,"MOUTH (SPIT,BITE,ETC)",,
24364,VERBAL THREAT (ASSAULT),,
24365,HANDS/FISTS,,
24369,BLUNT INSTRUMENT,,METAL BAR
24370,OTHER (SPECIFY),,LONG PIECE OF METAL BAR
24372,HANDS/FISTS,,
24373,FEET,,
24373,HANDS/FISTS,,
24374,FEET,,
24374,HANDS/FISTS,,
24374,OTHER (SPECIFY),,MEDICAL SHOWER CHAIR
24374,VERBAL THREAT (ASSAULT),,
24376,FEET,,
24376,HANDS/FISTS,,
24381,HANDS/FISTS,,
24381,VERBAL THREAT (ASSAULT),,
24382,HANDS/FISTS,,
24382,VERBAL THREAT (ASSAULT),,
24383,VERBAL THREAT (ASSAULT),,
24384,HANDS/FISTS,,
24391,VERBAL THREAT (ASSAULT),,
24393,HANDS/FISTS,,
24399,HANDS/FISTS,,
24400,FEET,,
24400,FIREARM - REVOLVER, 38 CAL,
24400,HANDS/FISTS,,
24401,FEET,,
24401,FIREARM - REVOLVER, 38 CAL,
24401,HANDS/FISTS,,
24405,HANDS/FISTS,,
24408,FIREARM - SEMI-AUTOMATIC, 9 MM,
24408,OTHER (SPECIFY),,OFF. POINTED HIS WEAPON AT R/O
24409,OTHER (SPECIFY),,DRIVER SIDE DOOR
24413,HANDS/FISTS,,
24413,OTHER (SPECIFY),,BRICKS
24413,VERBAL THREAT (ASSAULT),,
24414,HANDS/FISTS,,
24414,OTHER (SPECIFY),,BRICKS
24414,VERBAL THREAT (ASSAULT),,
24416,BLUNT INSTRUMENT,,BOTTLES AND BRICKS
24416,FEET,,
24416,HANDS/FISTS,,
24416,OTHER (SPECIFY),,THROWING BOTTLES AND BRICKS
24421,VERBAL THREAT (ASSAULT),,
24431,OTHER (SPECIFY),,SWUNG ELBOWS
24434,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
24435,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
24437,FEET,,
24437,HANDS/FISTS,,
24439,"MOUTH (SPIT,BITE,ETC)",,
24439,VERBAL THREAT (ASSAULT),,
24441,VERBAL THREAT (ASSAULT),,
24442,HANDS/FISTS,,
24447,HANDS/FISTS,,
24450,KNIFE/OTHER CUTTING INSTRUMENT,,
24457,HANDS/FISTS,,
24461,OTHER (SPECIFY),,SCRATCHED WITH FINGERNAILS
24470,HANDS/FISTS,,
24478,HANDS/FISTS,,
24481,HANDS/FISTS,,
24485,OTHER (SPECIFY),,PHYSICAL FORCE
24496,HANDS/FISTS,,
24496,VERBAL THREAT (ASSAULT),,
24499,VERBAL THREAT (ASSAULT),,
24502,FEET,,
24502,OTHER (SPECIFY),,"SHOULDER, ELBOW"
24503,HANDS/FISTS,,
24503,OTHER (SPECIFY),,ELBOW
24504,HANDS/FISTS,,
24504,VERBAL THREAT (ASSAULT),,
24505,HANDS/FISTS,,
24506,HANDS/FISTS,,
24506,OTHER (SPECIFY),,HANDS FEET
24507,HANDS/FISTS,,
24507,OTHER (SPECIFY),,HANDS FEET
24519,FEET,,
24519,HANDS/FISTS,,
24520,HANDS/FISTS,,
24522,HANDS/FISTS,,
24522,"MOUTH (SPIT,BITE,ETC)",,
24523,OTHER (SPECIFY),,LANDSCAPE BRICK
24524,FEET,,
24524,HANDS/FISTS,,
24525,HANDS/FISTS,,
24526,FEET,,
24526,HANDS/FISTS,,
24527,FIREARM - SEMI-AUTOMATIC,OTHER,6.35
24527,HANDS/FISTS,,
24529,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
24533,HANDS/FISTS,,
24537,HANDS/FISTS,,
24540,HANDS/FISTS,,
24545,HANDS/FISTS,,
24554,HANDS/FISTS,,
24554,"MOUTH (SPIT,BITE,ETC)",,
24554,VERBAL THREAT (ASSAULT),,
24562,HANDS/FISTS,,
24566,OTHER (SPECIFY),,RESISTED ARREST
24566,VEHICLE - OFFICER STRUCK WITH VEHICLE,,
24567,HANDS/FISTS,,
24583,FEET,,
24587,VERBAL THREAT (ASSAULT),,
24588,VERBAL THREAT (ASSAULT),,
24592,VERBAL THREAT (ASSAULT),,
24593,HANDS/FISTS,,
24595,"MOUTH (SPIT,BITE,ETC)",,
24595,VERBAL THREAT (ASSAULT),,
24597,FIREARM - SEMI-AUTOMATIC,32 CAL,
24602,FEET,,
24602,HANDS/FISTS,,
24612,HANDS/FISTS,,
24615,FEET,,
24617,HANDS/FISTS,,
24618,HANDS/FISTS,,
24619,HANDS/FISTS,,
24621,HANDS/FISTS,,
24621,OTHER (SPECIFY),,HEAD
24627,FEET,,
24627,HANDS/FISTS,,
24628,FEET,,
24628,HANDS/FISTS,,
24637,"MOUTH (SPIT,BITE,ETC)",,
24641,OTHER (SPECIFY),,THREATENED TO SHOOT P.O.
24642,OTHER (SPECIFY),,OFFENDER REFUSED VERBAL COMMANDS & REACHED TO HIS WAIST AREA
24644,HANDS/FISTS,,
24644,OTHER (SPECIFY),,BRICK
24644,VERBAL THREAT (ASSAULT),,
24645,HANDS/FISTS,,
24645,OTHER (SPECIFY),,BRICK
24646,OTHER (SPECIFY),,FOOD ITEM
24647,FIREARM - SEMI-AUTOMATIC,UNKNOWN,
24647,OTHER (SPECIFY),,FIREARM
24650,HANDS/FISTS,,
24654,HANDS/FISTS,,
24654,OTHER (SPECIFY),,KICKED DOOR INJURING PO
24654,VERBAL THREAT (ASSAULT),,
24655,HANDS/FISTS,,
24655,OTHER (SPECIFY),,KICK DOOR OPEN INJURING PO
24655,VERBAL THREAT (ASSAULT),,
24660,HANDS/FISTS,,
24661,HANDS/FISTS,,
24661,VERBAL THREAT (ASSAULT),,
24665,FEET,,
24665,HANDS/FISTS,,
24665,VERBAL THREAT (ASSAULT),,
24666,FEET,,
24666,HANDS/FISTS,,
24666,VERBAL THREAT (ASSAULT),,
24676,HANDS/FISTS,,
24677,HANDS/FISTS,,
24678,HANDS/FISTS,,
24678,VERBAL THREAT (ASSAULT),,
24684,FIREARM - SEMI-AUTOMATIC,380 ACP,
24686,VERBAL THREAT (ASSAULT),,
24689,VERBAL THREAT (ASSAULT),,
24693,FEET,,
24693,HANDS/FISTS,,
24693,VERBAL THREAT (ASSAULT),,
24699,OTHER (SPECIFY),,FISHING POLE WITH HOOK ATTACHED
24699,VERBAL THREAT (ASSAULT),,
24700,OTHER (SPECIFY),,FISHING POLE WITH HOOK
24700,VERBAL THREAT (ASSAULT),,
24705,"MOUTH (SPIT,BITE,ETC)",,
24708,FIREARM - REVOLVER, 38 CAL,
24709,VERBAL THREAT (ASSAULT),,
24710,VERBAL THREAT (ASSAULT),,
24717,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,
24723,HANDS/FISTS,,
24728,HANDS/FISTS,,
24728,VERBAL THREAT (ASSAULT),,
24729,HANDS/FISTS,,
24729,OTHER (SPECIFY),,ARMS
24731,HANDS/FISTS,,
24732,"MOUTH (SPIT,BITE,ETC)",,
24742,OTHER (SPECIFY),,ACOUSTIC WOODEN GUITAR
24742,VERBAL THREAT (ASSAULT),,
24747,OTHER (SPECIFY),,WOODEN GUITAR
24751,HANDS/FISTS,,
24753,HANDS/FISTS,,
24756,HANDS/FISTS,,
24759,HANDS/FISTS,,
24762,FIREARM - SEMI-AUTOMATIC, 9 MM,
24764,OTHER (SPECIFY),,BASEBALL BAT
24764,VERBAL THREAT (ASSAULT),,
24765,FEET,,
24765,HANDS/FISTS,,
24765,OTHER (SPECIFY),,AGGRESIVE ASSAILANT
24765,VERBAL THREAT (ASSAULT),,
24766,FEET,,
24766,HANDS/FISTS,,
24766,OTHER (SPECIFY),,AGGRESSIVE ASSAILANT 
24766,VERBAL THREAT (ASSAULT),,
24768,HANDS/FISTS,,
24768,VERBAL THREAT (ASSAULT),,
24774,OTHER (SPECIFY),,IN BOXING STANCE AND ALLEGS TO BE A GOLDEN GLOVE
24775,FEET,,
24775,VERBAL THREAT (ASSAULT),,
24778,VERBAL THREAT (ASSAULT),,
24779,VERBAL THREAT (ASSAULT),,
24781,VERBAL THREAT (ASSAULT),,
24783,OTHER (SPECIFY),,ARM
24787,HANDS/FISTS,,
24799,FIREARM - SEMI-AUTOMATIC, 9 MM,
24801,FEET,,
24801,HANDS/FISTS,,
24801,"MOUTH (SPIT,BITE,ETC)",,
24801,VERBAL THREAT (ASSAULT),,
24804,FEET,,
24804,HANDS/FISTS,,
24804,"MOUTH (SPIT,BITE,ETC)",,
24804,VERBAL THREAT (ASSAULT),,
24805,FEET,,
24805,HANDS/FISTS,,
24805,"MOUTH (SPIT,BITE,ETC)",,
24805,VERBAL THREAT (ASSAULT),,
